date,confirmed_cases,new_cases
2022-02-22,189565,0.0
2022-02-23,198478,8913.0
2022-02-24,207599,9121.0
2022-02-25,217932,10333.0
2022-02-26,292792,74860.0
2022-02-27,344032,51240.0
2022-02-28,400569,56537.0
2022-03-01,456582,56013.0
2022-03-02,533295,76713.0
2022-03-03,610697,77402.0
2022-03-04,683791,73094.0
2022-03-05,751844,68053.0
2022-03-06,792163,40319.0
2022-03-07,829306,37143.0
2022-03-08,868818,39512.0
2022-03-09,899945,31127.0
2022-03-10,932696,32751.0
2022-03-11,963302,30606.0
2022-03-12,992569,29267.0
2022-03-13,1028437,35868.0
2022-03-14,1057573,29136.0
2022-03-15,1090400,32827.0
2022-03-16,1123895,33495.0
2022-03-17,1147435,23540.0
2022-03-18,1171570,24135.0
2022-03-19,1193563,21993.0
2022-03-20,1210422,16859.0
2022-03-21,1228883,18461.0
2022-03-22,1249958,21075.0
2022-03-23,1266606,16648.0
2022-03-24,1283788,17182.0
2022-03-25,1299036,15248.0
2022-03-26,1313471,14435.0
2022-03-27,1327092,13621.0
2022-03-28,1340972,13880.0
2022-03-29,1355883,14911.0
2022-03-30,1371807,15924.0
2022-03-31,1385495,13688.0
2022-04-01,1400358,14863.0
2022-04-02,1414142,13784.0
2022-04-03,1430893,16751.0
2022-04-04,1446956,16063.0
2022-04-05,1466859,19903.0
2022-04-06,1490014,23155.0
2022-04-07,1515913,25899.0
2022-04-08,1541981,26068.0
2022-04-09,1569185,27204.0
2022-04-10,1597094,27909.0
2022-04-11,1626085,28991.0
2022-04-12,1652078,25993.0
2022-04-13,1682737,30659.0
2022-04-14,1713300,30563.0
2022-04-15,1738527,25227.0
2022-04-16,1762757,24230.0
2022-04-17,1787635,24878.0
2022-04-18,1811382,23747.0
2022-04-19,1832597,21215.0
2022-04-20,1849430,16833.0
2022-04-21,1869000,19570.0
2022-04-22,1888027,19027.0
2022-04-23,1911669,23642.0
2022-04-24,1933414,21745.0
2022-04-25,1953258,19844.0
2022-04-26,1970377,17119.0
2022-04-27,1983788,13411.0
2022-04-28,1994593,10805.0
2022-04-29,2005524,10931.0
2022-04-30,2015624,10100.0
2022-05-01,2024284,8660.0
2022-05-02,2031342,7058.0
2022-05-03,2037518,6176.0
2022-05-04,2043178,5660.0
2022-05-05,2048423,5245.0
2022-05-06,2053250,4827.0
2022-05-07,2057995,4745.0
2022-05-08,2062668,4673.0
2022-05-09,2066938,4270.0
2022-05-10,2070480,3542.0
